topic_id,words,scores
0,adaptation | visuomotor | visual | errors | force | error | movements | reaching | rotation | feedback,0.0216 | 0.0131 | 0.0119 | 0.0111 | 0.0111 | 0.0110 | 0.0104 | 0.0103 | 0.0102 | 0.0095
1,brain | eeg | connectivity | activity | functional | beta | changes | motor | regions | activation,0.0116 | 0.0107 | 0.0104 | 0.0095 | 0.0094 | 0.0084 | 0.0081 | 0.0080 | 0.0078 | 0.0078
2,sleep | consolidation | memory | memory consolidation | sleepdependent | spindles | night | nap | offline | spindle,0.0813 | 0.0349 | 0.0241 | 0.0217 | 0.0176 | 0.0169 | 0.0147 | 0.0144 | 0.0140 | 0.0126
3,walking | splitbelt | treadmill | gait | step | locomotor | adaptation | balance | step length | splitbelt treadmill,0.0416 | 0.0252 | 0.0250 | 0.0231 | 0.0217 | 0.0183 | 0.0160 | 0.0154 | 0.0144 | 0.0144
4,older | adults | older adults | aging | agerelated | cognitive | age | ad | memory | younger,0.0305 | 0.0287 | 0.0263 | 0.0196 | 0.0161 | 0.0158 | 0.0155 | 0.0152 | 0.0145 | 0.0128
5,musical | music | musicians | piano | pianists | auditory | nonmusicians | musical training | melodies | melody,0.0362 | 0.0333 | 0.0332 | 0.0202 | 0.0193 | 0.0161 | 0.0143 | 0.0131 | 0.0119 | 0.0111
6,vr | virtual | reality | virtual reality | rehabilitation | stroke | vrbased | immersive | reality vr | hmdvr,0.0347 | 0.0336 | 0.0261 | 0.0235 | 0.0221 | 0.0127 | 0.0124 | 0.0123 | 0.0099 | 0.0098
7,multisensory | audiovisual | auditory | stimuli | integration | multisensory integration | temporal | crossmodal | visual | unisensory,0.0875 | 0.0349 | 0.0347 | 0.0324 | 0.0305 | 0.0290 | 0.0266 | 0.0247 | 0.0229 | 0.0185
8,tdcs | stimulation | anodal | direct current | transcranial direct | current stimulation | transcranial | direct | current | sham,0.0634 | 0.0316 | 0.0288 | 0.0248 | 0.0245 | 0.0242 | 0.0222 | 0.0210 | 0.0195 | 0.0183
9,song | vocal | birds | songbirds | song learning | vocal learning | zebra | hvc | neurons | songbird,0.1054 | 0.0580 | 0.0308 | 0.0303 | 0.0285 | 0.0272 | 0.0250 | 0.0244 | 0.0229 | 0.0216
