community,n,mean,median,std
284,1,0.3333333333333333,0.3333333333333333,
86,6,0.25824774354186114,0.25,0.11235723898044592
329,1,0.25,0.25,
173,1,0.25,0.25,
84,1,0.25,0.25,
307,1,0.25,0.25,
46,34,0.19192055642611094,0.1437908496732026,0.1677349531462662
72,1,0.17647058823529413,0.17647058823529413,
243,1,0.17647058823529413,0.17647058823529413,
314,1,0.17647058823529413,0.17647058823529413,
261,1,0.17647058823529413,0.17647058823529413,
247,1,0.17647058823529413,0.17647058823529413,
195,1,0.17647058823529413,0.17647058823529413,
339,1,0.17647058823529413,0.17647058823529413,
70,14,0.15737401573314885,0.1111111111111111,0.1443619182933218
17,156,0.13680753712606533,0.1111111111111111,0.14547568725578808
56,26,0.13590679186654417,0.1111111111111111,0.1146159989505117
77,4,0.1343954248366013,0.1437908496732026,0.10604877283026304
13,173,0.12390658836998249,0.1111111111111111,0.11451787229830872
50,28,0.11665421904254279,0.02631578947368421,0.17945328227880936
101,4,0.11659356725146199,0.08187134502923976,0.09311212867585525
128,2,0.11455108359133127,0.11455108359133127,0.0875674032429161
58,26,0.11453927049902282,0.05263157894736842,0.1274094167066262
54,24,0.11373050682261208,0.05263157894736842,0.11288016801553977
99,4,0.11283109735122118,0.1111111111111111,0.050596058876069744
95,4,0.11283109735122118,0.1111111111111111,0.050596058876069744
316,1,0.1111111111111111,0.1111111111111111,
241,1,0.1111111111111111,0.1111111111111111,
315,1,0.1111111111111111,0.1111111111111111,
290,1,0.1111111111111111,0.1111111111111111,
272,1,0.1111111111111111,0.1111111111111111,
274,1,0.1111111111111111,0.1111111111111111,
178,1,0.1111111111111111,0.1111111111111111,
209,1,0.1111111111111111,0.1111111111111111,
310,1,0.1111111111111111,0.1111111111111111,
306,1,0.1111111111111111,0.1111111111111111,
157,1,0.1111111111111111,0.1111111111111111,
144,1,0.1111111111111111,0.1111111111111111,
52,24,0.1069222279555097,0.05263157894736842,0.10242254021067101
51,28,0.10656674950682028,0.05263157894736842,0.12703945687455348
82,6,0.10463249627336314,0.1111111111111111,0.06936486501541507
67,20,0.10157378740970073,0.08187134502923976,0.08208538315858022
39,57,0.10145353924887898,0.1111111111111111,0.0930857102006404
14,188,0.09767469884557033,0.05263157894736842,0.10384666263750938
57,25,0.09603027175782593,0.05263157894736842,0.08926299435422354
15,176,0.09462057657684593,0.05263157894736842,0.09345150960283458
19,131,0.09408549813389933,0.05263157894736842,0.10546016245405221
33,69,0.09402894135024974,0.05263157894736842,0.10570611144019121
31,77,0.0928100107666671,0.05263157894736842,0.0997749607569489
22,115,0.0918438466156867,0.05263157894736842,0.09774412292725289
42,48,0.08948407579406031,0.05263157894736842,0.1081243760298287
38,63,0.08926182558793498,0.05263157894736842,0.07539919346246829
20,125,0.08821396628826969,0.05263157894736842,0.07981571998064028
29,96,0.08747064249676478,0.05263157894736842,0.09064678779680593
23,112,0.08524286907745555,0.05263157894736842,0.09415013874848227
49,27,0.08408321093219613,0.05263157894736842,0.11783954498738283
16,146,0.08211815127396789,0.05263157894736842,0.07875819607534082
140,2,0.08187134502923976,0.08187134502923976,0.04135127375359927
27,96,0.080968736178682,0.05263157894736842,0.09205772847437001
4,744,0.08048325448829793,0.05263157894736842,0.0991018442175413
8,333,0.07770729029758958,0.05263157894736842,0.09752741529057327
40,53,0.0759941844993542,0.05263157894736842,0.07876531244869785
34,70,0.07556882402083641,0.05263157894736842,0.09044591069966465
87,3,0.07407407407407407,0.1111111111111111,0.06415002990995841
32,65,0.0735386732290757,0.05263157894736842,0.07869584531344515
60,23,0.07219167664718883,0.0,0.13108165665866642
37,73,0.07176465875944225,0.05263157894736842,0.08466289168982574
6,595,0.07036509610591875,0.05263157894736842,0.08492985252804416
45,30,0.0693183121201697,0.05263157894736842,0.08084082807894921
94,4,0.06871345029239766,0.08187134502923976,0.05346428129396677
2,885,0.06816594216237391,0.05263157894736842,0.08007137664602475
11,299,0.06703299168637707,0.05263157894736842,0.07689725035771632
65,20,0.06691606467148263,0.05263157894736842,0.08468838121359894
12,275,0.0660907169885498,0.05263157894736842,0.08787441781853929
36,73,0.06521625713491357,0.0,0.10006360025722955
9,287,0.06497903463416241,0.05263157894736842,0.09573248104311093
35,79,0.06472264677578782,0.05263157894736842,0.06346404185395502
