topic,n,mean,median,std
125,13,0.4864216979601595,0.5384615384615384,0.24248241366842427
109,18,0.2489550401057109,0.29166666666666663,0.14170596229915813
96,21,0.2299475345693833,0.25,0.10639480354015297
65,28,0.21880736100108059,0.21323529411764708,0.17044763908550545
60,41,0.2024775085637428,0.17647058823529413,0.1434093669107086
88,28,0.1993146448862946,0.21323529411764708,0.13934335943279272
52,39,0.18083469589780618,0.17647058823529413,0.12912972112088347
102,7,0.17161776991498354,0.17647058823529413,0.08158298125747955
118,13,0.1609327007040748,0.1111111111111111,0.1496161292123398
99,22,0.15803490455193242,0.1437908496732026,0.1387595987155666
25,79,0.15633885389342533,0.1111111111111111,0.14580041125302506
50,41,0.1556933987840882,0.1111111111111111,0.1468670711774275
104,14,0.15238463806575261,0.17647058823529413,0.0787959964183391
67,35,0.14013219322816847,0.17647058823529413,0.09347260561238042
92,22,0.13945570253619788,0.1111111111111111,0.11801797825610758
90,24,0.13648449145740169,0.1111111111111111,0.0937731376348156
62,37,0.13391952323840867,0.1111111111111111,0.105398799163907
114,16,0.1330893102855177,0.17647058823529413,0.11136486088232875
80,31,0.1270427808927759,0.1111111111111111,0.12320374180335548
56,42,0.12686946123478632,0.1111111111111111,0.10890251923149957
89,28,0.12513207037200844,0.08187134502923976,0.12026832079551374
66,36,0.12268757405496311,0.1111111111111111,0.08724565027256304
39,61,0.11866193126661076,0.1111111111111111,0.1081414633764215
49,53,0.11842105263157894,0.1111111111111111,0.08349064715056541
47,53,0.11640157552594027,0.1111111111111111,0.1039872996720931
78,27,0.11587428993689743,0.1111111111111111,0.13264019728067883
93,24,0.11485924779268432,0.1111111111111111,0.10416149106088014
31,76,0.11060578432665773,0.1111111111111111,0.08439293844762481
6,137,0.11009911712155729,0.1111111111111111,0.10623245963452364
51,41,0.10897461252365731,0.05263157894736842,0.11036602208733481
76,28,0.1087000589709568,0.1111111111111111,0.08659452851895778
120,16,0.1050266597867217,0.1111111111111111,0.10810024121399718
57,43,0.10223918208654331,0.1111111111111111,0.07811746775147957
123,16,0.09586235810113519,0.05263157894736842,0.067374495759127
26,84,0.09539312801143848,0.05263157894736842,0.08901242744408273
33,73,0.09534496326769111,0.1111111111111111,0.07564096072389775
28,80,0.09393059855521155,0.05263157894736842,0.07973014742503434
30,71,0.09330683101014065,0.05263157894736842,0.0954528763398622
12,145,0.0927913936294421,0.05263157894736842,0.08643322481804357
35,72,0.09243970492680503,0.05263157894736842,0.08776113314038948
94,24,0.09166809998853342,0.1111111111111111,0.08134737616890649
86,26,0.09106665608213596,0.1111111111111111,0.08094807451282897
83,30,0.09066907464740281,0.05263157894736842,0.08154069187921328
27,75,0.09027683588055105,0.05263157894736842,0.09369174556296249
79,32,0.09006009201926385,0.05263157894736842,0.06339366965426466
82,29,0.08986335005871678,0.1111111111111111,0.06548281474789881
106,19,0.08888449193158333,0.05263157894736842,0.1116960356501613
3,243,0.08663466775112992,0.05263157894736842,0.10492828281630058
43,61,0.08639265312107011,0.05263157894736842,0.07467607771886485
29,77,0.08513868067163069,0.05263157894736842,0.10014551218564272
64,37,0.08485110497494398,0.05263157894736842,0.05909258819199956
4,245,0.08354023313586086,0.05263157894736842,0.07929687283328124
24,88,0.08166067463668082,0.05263157894736842,0.078351199974499
119,16,0.08147897316821465,0.08187134502923976,0.06955817991648469
58,43,0.08100535195718434,0.05263157894736842,0.0742132383240555
61,41,0.0810029617324037,0.05263157894736842,0.07496249499365515
124,15,0.07941749799334938,0.05263157894736842,0.06995006523674321
16,107,0.07778133892829647,0.05263157894736842,0.09167564054246737
11,155,0.07629107800884491,0.05263157894736842,0.09599119630534227
2,323,0.07561678736999117,0.05263157894736842,0.08374470072014309
105,20,0.07330581355349157,0.05263157894736842,0.0661321813125639
91,25,0.07174406604747162,0.05263157894736842,0.06195493577891324
23,82,0.07122885525626596,0.05263157894736842,0.07673551195846469
63,38,0.07095395868412001,0.05263157894736842,0.06296699920937462
1,532,0.06986448780805027,0.05263157894736842,0.07727341309327945
15,109,0.06971624960945266,0.05263157894736842,0.07886495643096036
41,64,0.06944981940144479,0.05263157894736842,0.06508802975588511
69,28,0.06941373040444247,0.05263157894736842,0.07616731456788674
0,506,0.06900500301361791,0.05263157894736842,0.09329169141974258
121,15,0.06865611741772733,0.05263157894736842,0.07701807662044308
85,29,0.06841690094065454,0.05263157894736842,0.0865283423073358
107,12,0.06770295837633299,0.02631578947368421,0.08444724107488173
53,48,0.06711887971562895,0.05263157894736842,0.07702220353125933
20,89,0.06703211542846983,0.05263157894736842,0.0714185312350069
37,67,0.06610651592399201,0.05263157894736842,0.09170350967572073
101,21,0.06544138123085491,0.05263157894736842,0.07792535459802294
21,65,0.0651649863724167,0.05263157894736842,0.06743505841025246
13,153,0.06419708119459226,0.05263157894736842,0.06730297506990841
14,125,0.06400412796697626,0.05263157894736842,0.07439824434479721
44,56,0.06233567988598948,0.05263157894736842,0.09088579688742565
45,57,0.06203266163344377,0.05263157894736842,0.06308112378246282
84,25,0.061719986240110075,0.05263157894736842,0.0749628832120177
112,19,0.06166603298752558,0.05263157894736842,0.06037441268840724
8,168,0.06146340114993366,0.05263157894736842,0.07002676060288504
55,48,0.06112759431257883,0.02631578947368421,0.07610428507826429
70,33,0.060314184153193444,0.05263157894736842,0.08688031990700648
9,155,0.06022028505799604,0.05263157894736842,0.08322508046963073
117,17,0.05963293470122827,0.05263157894736842,0.0657166364841125
111,19,0.05907247478862274,0.05263157894736842,0.06538874613666028
97,21,0.05890543351843661,0.05263157894736842,0.06472707510782726
98,22,0.05872580292084936,0.05263157894736842,0.0652151789773751
40,65,0.05853642401630018,0.05263157894736842,0.06125105593738023
110,18,0.05799220272904483,0.02631578947368421,0.08137843660563315
87,27,0.05772783447362051,0.05263157894736842,0.07946485556598677
81,28,0.05632954936360509,0.05263157894736842,0.0649991054191827
77,32,0.055652304781561746,0.05263157894736842,0.05838315534389613
17,99,0.05553123251781662,0.05263157894736842,0.06254730424328317
48,53,0.05549227304294773,0.05263157894736842,0.0680526061704284
113,17,0.055444262328254314,0.05263157894736842,0.05683939553508346
42,62,0.054881431916286604,0.05263157894736842,0.05994629728482336
22,93,0.05458036827256841,0.0,0.08212825858127103
-1,5476,0.053958522120182234,0.05263157894736842,0.07091814538554739
5,219,0.05260016367357645,0.05263157894736842,0.060362322403613285
71,34,0.05226228778405067,0.0,0.07293353661258199
73,33,0.05161782948160657,0.0,0.06826404886142694
