topic,n,mean,median,std
125,16,0.4499030381383322,0.48351648351648346,0.10957244391961966
109,19,0.3637224262529786,0.42857142857142855,0.14679376847680797
96,23,0.26570829000496515,0.25,0.10842277530438911
60,42,0.25529498799069783,0.25,0.14548246643735085
114,19,0.236776548818263,0.25,0.15719852469799073
65,38,0.23002734370259217,0.25,0.14987131311989274
92,25,0.22122720073184468,0.17647058823529413,0.1606579323865841
88,28,0.21615515301937238,0.17647058823529413,0.12389738514959162
52,50,0.2028470686520222,0.21323529411764708,0.15465301272052845
90,27,0.19935368559379565,0.17647058823529413,0.12626067758251708
50,54,0.19752918411329143,0.17647058823529413,0.14083774969104795
102,9,0.19629820739211865,0.25,0.07340182483326556
67,36,0.18361569774108472,0.17647058823529413,0.1144753219117581
25,85,0.18347481248592157,0.17647058823529413,0.1411217806016513
76,33,0.17739945526323234,0.1111111111111111,0.1447810412099752
99,22,0.17690002635823068,0.1111111111111111,0.15487234788944415
123,16,0.1716108592559831,0.17647058823529413,0.12753601086892735
56,45,0.16846063961647037,0.17647058823529413,0.13495175935468848
118,15,0.16420267612218076,0.1111111111111111,0.14466020615390857
49,54,0.1628366521297378,0.1111111111111111,0.13212978074252704
39,65,0.1600884244489865,0.1111111111111111,0.1468434829042449
47,55,0.1591384879310576,0.1111111111111111,0.10924617095858376
58,43,0.15715606143282723,0.1111111111111111,0.13149513731845278
66,38,0.15149878049095908,0.1437908496732026,0.11442013202208864
93,24,0.14960655314757482,0.17647058823529413,0.10593714444367992
64,40,0.14754920861732007,0.1111111111111111,0.1215532461569068
94,24,0.14535112290530247,0.17647058823529413,0.1144130906375021
104,20,0.1415720674234606,0.1111111111111111,0.10260070040277695
78,33,0.14107186243409153,0.1111111111111111,0.1467929909030526
89,28,0.14000512485696032,0.1437908496732026,0.1277714285303384
6,180,0.1366212529396224,0.1111111111111111,0.12486138561283103
80,31,0.13392153692263548,0.1111111111111111,0.10410981658362661
26,86,0.1324749402004784,0.1111111111111111,0.09402341672258002
4,248,0.13082503962797082,0.1111111111111111,0.1183976937212497
30,75,0.1295195505102626,0.1111111111111111,0.11393459424932148
12,157,0.12863213913774937,0.1111111111111111,0.10711501776004662
63,40,0.12815617475060198,0.1111111111111111,0.09595310187592011
62,40,0.12667913656690746,0.1111111111111111,0.10577570528963631
51,45,0.12654255884390042,0.05263157894736842,0.12795158453482983
121,16,0.12437113003095976,0.1111111111111111,0.10917092086653764
86,29,0.12428679880905781,0.1111111111111111,0.08815904898307461
