community,n,mean,median,std
70,14,0.29308903048398843,0.29166666666666663,0.18737140106479178
72,1,0.25,0.25,
314,1,0.25,0.25,
284,1,0.25,0.25,
84,1,0.25,0.25,
329,1,0.25,0.25,
77,4,0.20833333333333331,0.25,0.14433756729740643
86,6,0.19308278867102394,0.17647058823529413,0.08590742281566607
46,34,0.1898063464490345,0.17647058823529413,0.1508842006711979
110,1,0.17647058823529413,0.17647058823529413,
178,1,0.17647058823529413,0.17647058823529413,
173,1,0.17647058823529413,0.17647058823529413,
321,1,0.17647058823529413,0.17647058823529413,
339,1,0.17647058823529413,0.17647058823529413,
261,1,0.17647058823529413,0.17647058823529413,
302,1,0.17647058823529413,0.17647058823529413,
236,1,0.17647058823529413,0.17647058823529413,
247,1,0.17647058823529413,0.17647058823529413,
82,6,0.17585756749843437,0.1437908496732026,0.19067512856302402
57,25,0.15974691631038382,0.17647058823529413,0.1134564582184344
139,2,0.1437908496732026,0.1437908496732026,0.04621612948931684
17,156,0.13913619446186723,0.1111111111111111,0.12763855453093
33,69,0.13563384437660922,0.1111111111111111,0.1327116690589619
54,24,0.1342063366057174,0.1111111111111111,0.13178680359197495
40,53,0.13386708539754863,0.1111111111111111,0.13046956128407097
56,26,0.1330158919168207,0.1111111111111111,0.12436377740088621
95,4,0.12745098039215685,0.1111111111111111,0.03267973856209151
13,173,0.12656475537880002,0.1111111111111111,0.11400247086285842
50,28,0.12538858323356333,0.05263157894736842,0.16771405154002467
45,30,0.12379503308295876,0.05263157894736842,0.14926290637484788
58,26,0.12052549141737043,0.05263157894736842,0.13697590236191945
19,131,0.11659912391366083,0.05263157894736842,0.11707948738362178
51,28,0.11610828541943093,0.05263157894736842,0.1299518213994525
39,57,0.11214224070668587,0.1111111111111111,0.11413024220607662
315,1,0.1111111111111111,0.1111111111111111,
310,1,0.1111111111111111,0.1111111111111111,
307,1,0.1111111111111111,0.1111111111111111,
306,1,0.1111111111111111,0.1111111111111111,
285,1,0.1111111111111111,0.1111111111111111,
276,1,0.1111111111111111,0.1111111111111111,
195,1,0.1111111111111111,0.1111111111111111,
330,1,0.1111111111111111,0.1111111111111111,
325,1,0.1111111111111111,0.1111111111111111,
301,1,0.1111111111111111,0.1111111111111111,
127,1,0.1111111111111111,0.1111111111111111,
42,48,0.11022219560338754,0.05263157894736842,0.1284243622664398
65,20,0.11011781905744752,0.05263157894736842,0.11815666856511722
15,176,0.10898623113212896,0.05263157894736842,0.10782258003222141
26,91,0.1067169107859068,0.1111111111111111,0.10549046169175025
83,7,0.10654086195881862,0.1111111111111111,0.07286375857855962
14,188,0.10602192538082796,0.05263157894736842,0.10551940433566237
38,63,0.10167848815939631,0.1111111111111111,0.0911213375888599
23,112,0.10032313363942068,0.05263157894736842,0.09874620742816614
94,4,0.09967320261437909,0.1111111111111111,0.07324442472337359
8,333,0.09928773963861684,0.05263157894736842,0.10812058066774477
