community,n,mean,median,std
72,3,0.40170940170940167,0.3333333333333333,0.11843082444915401
81,2,0.38095238095238093,0.38095238095238093,0.06734350297014738
77,7,0.34602302459445317,0.3333333333333333,0.18715137080638594
284,1,0.3333333333333333,0.3333333333333333,
236,1,0.3333333333333333,0.3333333333333333,
70,16,0.3050125667675977,0.3333333333333333,0.18019721125103846
110,1,0.25,0.25,
84,1,0.25,0.25,
173,1,0.25,0.25,
329,1,0.25,0.25,
314,1,0.25,0.25,
46,43,0.2466274775296303,0.25,0.17339162956966656
57,29,0.2401772752472016,0.25,0.1751142966772496
86,6,0.22848583877995643,0.25,0.07597892799676245
80,6,0.21658107687519454,0.21323529411764708,0.15448491891496016
60,23,0.2023480176663647,0.1111111111111111,0.21701734140308462
40,56,0.20003041702510965,0.17647058823529413,0.18213445939069853
56,30,0.1961754877389552,0.17647058823529413,0.13515487770765616
17,162,0.19566289637095735,0.17647058823529413,0.16012290809386026
82,7,0.1864493435700866,0.17647058823529413,0.176303159130995
139,2,0.18055555555555555,0.18055555555555555,0.09820927516479827
331,1,0.17647058823529413,0.17647058823529413,
302,1,0.17647058823529413,0.17647058823529413,
315,1,0.17647058823529413,0.17647058823529413,
321,1,0.17647058823529413,0.17647058823529413,
178,1,0.17647058823529413,0.17647058823529413,
261,1,0.17647058823529413,0.17647058823529413,
65,21,0.17507997350987178,0.17647058823529413,0.14978235483198363
50,34,0.1700951596007141,0.08187134502923976,0.2131058692432089
45,44,0.16828525361807095,0.1111111111111111,0.16991950486434929
33,75,0.16447609723151518,0.1111111111111111,0.14896823262249995
14,202,0.15890825337764614,0.1111111111111111,0.13029720338659603
13,221,0.15501520311839295,0.1111111111111111,0.12679854138425029
39,58,0.1545619457704437,0.1111111111111111,0.16191961832330495
58,28,0.15372333143783828,0.1437908496732026,0.1389685387934013
52,29,0.15344946205947593,0.17647058823529413,0.11815925920064535
34,81,0.15186550953664818,0.1111111111111111,0.14998707438092376
54,30,0.14612905441078813,0.1111111111111111,0.13740123921447353
20,132,0.14418972410458478,0.1111111111111111,0.12310755149090448
22,122,0.14242273865808353,0.1111111111111111,0.14255865342463853
19,139,0.13963389217860564,0.1111111111111111,0.1294172175115779
15,187,0.1381880073830538,0.1111111111111111,0.12717351231882595
67,21,0.1380920789368379,0.1111111111111111,0.10898970266671022
89,5,0.13725490196078433,0.1111111111111111,0.03579885996765793
49,33,0.136539357901587,0.1111111111111111,0.1125874965191352
93,3,0.13519091847265222,0.17647058823529413,0.07149848534856047
32,79,0.134766616122183,0.1111111111111111,0.14142681525013906
23,120,0.13391982974026317,0.1111111111111111,0.12191037895356392
42,50,0.13374185841678102,0.1111111111111111,0.13967324334684086
8,360,0.13150697675981474,0.1111111111111111,0.12170940190636326
94,4,0.12917096663226696,0.1437908496732026,0.05960689181686777
95,4,0.12917096663226696,0.1437908496732026,0.05960689181686777
87,6,0.1277806444215113,0.1437908496732026,0.09157744329953744
29,97,0.12521950917629318,0.1111111111111111,0.11985955119425605
9,343,0.1248696151461769,0.1111111111111111,0.13240667760210645
27,99,0.12346930484185387,0.05263157894736842,0.14937591799941777
