run,n,mean,median
0,13555,0.0004170934909909138,0.0
1,13555,0.0003232000702459891,0.0
2,13555,0.0003466591930743827,0.0
3,13555,0.0003734292515921769,0.0
4,13555,0.000388107186547893,0.0
5,13555,0.00040829846728987143,0.0
6,13555,0.0003659776697441161,0.0
7,13555,0.000350379786412096,0.0
8,13555,0.00042666208704582347,0.0
9,13555,0.0004350546899793005,0.0
10,13555,0.0003947838365124664,0.0
11,13555,0.0003062793645935598,0.0
12,13555,0.00034122471394998295,0.0
13,13555,0.0004422528101885107,0.0
14,13555,0.0003370944629639569,0.0
15,13555,0.0003636904877464779,0.0
16,13555,0.0004569675883969331,0.0
17,13555,0.000391580784727385,0.0
18,13555,0.0002962995108285537,0.0
19,13555,0.00031415190212967417,0.0
20,13555,0.0003667548675103038,0.0
21,13555,0.00031525996408775323,0.0
22,13555,0.00031558670437313005,0.0
23,13555,0.0003146604115252655,0.0
24,13555,0.000357106512384345,0.0
25,13555,0.0004021078491645029,0.0
26,13555,0.00032771098952565813,0.0
27,13555,0.0003300536856494525,0.0
28,13555,0.00037417663034202916,0.0
29,13555,0.00033616454470377196,0.0
30,13555,0.0003047693803621094,0.0
31,13555,0.0003879152662831814,0.0
32,13555,0.0003787877922723575,0.0
33,13555,0.0004036606585789881,0.0
34,13555,0.0003359175634894441,0.0
35,13555,0.0003659427751505321,0.0
36,13555,0.00033261526604209154,0.0
37,13555,0.00035551246390471515,0.0
38,13555,0.00042402038504090345,0.0
39,13555,0.0003435404460696443,0.0
40,13555,0.0004043803029245893,0.0
41,13555,0.0003714196402253201,0.0
42,13555,0.00044394963910742417,0.0
43,13555,0.0003272478431017259,0.0
44,13555,0.00042074687824773756,0.0
45,13555,0.00041216098157603525,0.0
46,13555,0.00035956182287834207,0.0
47,13555,0.0004177698569769401,0.0
48,13555,0.000399291221015123,0.0
49,13555,0.00030980562188700567,0.0
50,13555,0.000344371571844098,0.0
51,13555,0.0003692371420084338,0.0
52,13555,0.00037218097681260596,0.0
53,13555,0.00037318847889644766,0.0
54,13555,0.0003178326473056235,0.0
55,13555,0.0002855710094193831,0.0
56,13555,0.0003425396056809413,0.0
57,13555,0.0003500803273544302,0.0
58,13555,0.0003942521244780244,0.0
59,13555,0.00038109971770908236,0.0
60,13555,0.00027952472802202094,0.0
61,13555,0.0002927973625270386,0.0
62,13555,0.0004362363478074838,0.0
63,13555,0.00040154160507770896,0.0
64,13555,0.00026902653093050427,0.0
65,13555,0.00040268519607652796,0.0
66,13555,0.00039706240815584354,0.0
67,13555,0.0004226179396024072,0.0
68,13555,0.00044028094842744024,0.0
69,13555,0.00032391065106078927,0.0
70,13555,0.0004002996747696988,0.0
71,13555,0.00036928631166302934,0.0
72,13555,0.00037093111591514496,0.0
73,13555,0.00041510005802653687,0.0
74,13555,0.0003150157019326656,0.0
75,13555,0.00038533216000488993,0.0
76,13555,0.0003649276597008175,0.0
77,13555,0.00033774159906314996,0.0
78,13555,0.00035262731546247965,0.0
79,13555,0.00035298101975198953,0.0
80,13555,0.00034215893738729833,0.0
81,13555,0.00040738359449081615,0.0
82,13555,0.0002752755181942314,0.0
83,13555,0.00034313439988975844,0.0
84,13555,0.0003311370041684446,0.0
85,13555,0.00040090874403952764,0.0
86,13555,0.0003556456978074902,0.0
87,13555,0.00043728489374196067,0.0
88,13555,0.0004589586195256478,0.0
89,13555,0.0003718510642914488,0.0
90,13555,0.00035417695264118446,0.0
91,13555,0.00042305094978642606,0.0
92,13555,0.00034952962722296005,0.0
93,13555,0.00038653566094230373,0.0
94,13555,0.0003531903873134932,0.0
95,13555,0.0003607656863569879,0.0
96,13555,0.0003660585617565152,0.0
97,13555,0.00031336613932687944,0.0
98,13555,0.00031317580518005805,0.0
99,13555,0.00042502883879547924,0.0
