community,n,mean,median,std
99.0,2,0.29166666666666663,0.29166666666666663,0.05892556509887893
368.0,10,0.2865725777490483,0.29166666666666663,0.13603203645665965
495.0,5,0.2519607843137255,0.25,0.0555243087829181
211.0,10,0.2502911690992186,0.25,0.1431876854271265
1922.0,1,0.25,0.25,
1958.0,1,0.25,0.25,
928.0,1,0.25,0.25,
2086.0,1,0.25,0.25,
186.0,1,0.25,0.25,
175.0,6,0.2466636677162993,0.2222222222222222,0.18685111823279626
45.0,35,0.24489852621210428,0.25,0.14559147365580544
123.0,27,0.2287425241501609,0.25,0.1380490718932816
206.0,3,0.22549019607843138,0.25,0.04245222567570778
133.0,19,0.22057311453596284,0.25,0.1512783579508391
142.0,19,0.2154832385401067,0.25,0.17528967995363903
427.0,5,0.20751633986928106,0.25,0.06259471016136586
81.0,35,0.2034003074914176,0.25,0.1414054483333038
38.0,60,0.20230400977305002,0.1111111111111111,0.1940719797989478
135.0,23,0.19877711690203279,0.17647058823529413,0.18329266681131443
150.0,23,0.1980613462306826,0.1111111111111111,0.1806848170708018
245.0,14,0.19724961509570088,0.17647058823529413,0.16776309968068293
26.0,105,0.19477199786797308,0.17647058823529413,0.1574428182192413
51.0,46,0.1920903108647085,0.17647058823529413,0.1415392023586366
179.0,9,0.1894510240743471,0.17647058823529413,0.13360423526439366
77.0,18,0.18824813626155215,0.1437908496732026,0.14760430461130042
57.0,33,0.1865941649223383,0.17647058823529413,0.13454519777075719
130.0,17,0.18597820965331438,0.17647058823529413,0.1761604672202691
151.0,14,0.18477708222290265,0.1437908496732026,0.13805953005593485
233.0,19,0.18309203786635755,0.1111111111111111,0.18264866577788288
326.0,10,0.18149493265592337,0.1437908496732026,0.1368759078276513
632.0,2,0.18055555555555555,0.18055555555555555,0.09820927516479827
149.0,20,0.17912428129146393,0.11455108359133127,0.17345551044935528
113.0,9,0.1783625730994152,0.25,0.14897761249367358
1176.0,1,0.17647058823529413,0.17647058823529413,
1101.0,1,0.17647058823529413,0.17647058823529413,
1862.0,1,0.17647058823529413,0.17647058823529413,
477.0,1,0.17647058823529413,0.17647058823529413,
1093.0,1,0.17647058823529413,0.17647058823529413,
2240.0,1,0.17647058823529413,0.17647058823529413,
690.0,1,0.17647058823529413,0.17647058823529413,
103.0,36,0.17439773180227258,0.17647058823529413,0.12813524440903154
109.0,24,0.17421771340114992,0.17647058823529413,0.1381391777048153
49.0,38,0.17379782014375464,0.17647058823529413,0.11829528070654652
72.0,25,0.172421740626075,0.1111111111111111,0.15594795358572644
30.0,75,0.16994833740963772,0.17647058823529413,0.14112806079205617
94.0,30,0.1673905414617489,0.08187134502923976,0.16220675528637324
260.0,15,0.16703933035202384,0.17647058823529413,0.12841497894477855
64.0,42,0.16661126888902208,0.1111111111111111,0.1669510393754856
47.0,51,0.1653131364477203,0.17647058823529413,0.12935300097236685
234.0,12,0.1651002506265664,0.1513157894736842,0.16994110550426283
110.0,28,0.16234793512546716,0.1437908496732026,0.16088207323812145
107.0,25,0.16215421661242094,0.17647058823529413,0.12777493481357208
498.0,6,0.16203703703703703,0.18055555555555555,0.1045517573207057
67.0,43,0.161434027209101,0.17647058823529413,0.12919111859360755
162.0,19,0.15850772441940766,0.17647058823529413,0.11549414335381296
275.0,14,0.15822030566612608,0.17647058823529413,0.11546975772144046
120.0,30,0.1572665323439317,0.1437908496732026,0.13374292488565048
265.0,3,0.15468409586056645,0.17647058823529413,0.03773531171174025
402.0,10,0.15415376676986584,0.17647058823529413,0.11962960254558733
173.0,13,0.15374692387076289,0.17647058823529413,0.10187750855422137
475.0,6,0.15092879256965944,0.17647058823529413,0.10332165074901078
71.0,22,0.149044969478406,0.1111111111111111,0.15612579044996458
13.0,184,0.14849101202412548,0.1111111111111111,0.133262220396939
59.0,37,0.14848362294182726,0.1111111111111111,0.11846455527677278
116.0,19,0.14700903445404015,0.17647058823529413,0.10512704216282213
166.0,9,0.14659060505293736,0.17647058823529413,0.09635243434488105
287.0,3,0.14619883040935672,0.05263157894736842,0.16206323345673704
85.0,33,0.14392547596881963,0.1111111111111111,0.1260903438939686
387.0,4,0.1437908496732026,0.1437908496732026,0.03773531171174025
437.0,2,0.1437908496732026,0.1437908496732026,0.04621612948931684
63.0,34,0.14329386593090837,0.08187134502923976,0.15913200577368086
32.0,81,0.14280117505091705,0.1111111111111111,0.11007114832229774
285.0,14,0.14200592517708838,0.1111111111111111,0.1311281734292926
93.0,26,0.14081395041147363,0.1111111111111111,0.0810398857901719
23.0,120,0.1407319990524325,0.1111111111111111,0.11925036829099141
129.0,23,0.13936001555465816,0.1111111111111111,0.10553931648405371
28.0,89,0.13935560425628954,0.1111111111111111,0.0953209322908416
53.0,52,0.13902473945043606,0.1111111111111111,0.14174885209837082
188.0,12,0.1369037381034285,0.1437908496732026,0.11144346779223041
108.0,30,0.1327325667108949,0.1111111111111111,0.1067854171213392
91.0,18,0.13212360967778924,0.05263157894736842,0.13411084670279902
29.0,61,0.13107765395488077,0.1111111111111111,0.1142592898842893
111.0,27,0.1308254295870395,0.1111111111111111,0.11489183512365987
46.0,45,0.1302297137178458,0.1111111111111111,0.08807076938673356
157.0,26,0.12833034698359774,0.1111111111111111,0.12617988173364492
44.0,57,0.12748438864619407,0.05263157894736842,0.13425635851686307
19.0,131,0.12714249095503083,0.1111111111111111,0.11276753424452654
41.0,61,0.1263209051236255,0.1111111111111111,0.09879320581796881
102.0,35,0.1262357574608791,0.1111111111111111,0.11961411706013572
80.0,36,0.12433883434915427,0.08187134502923976,0.13108931139786872
95.0,26,0.12381727319807814,0.1111111111111111,0.10141082976857471
370.0,9,0.12066659022283378,0.1111111111111111,0.05758173258135555
227.0,9,0.1205519244734931,0.1111111111111111,0.05518050170768602
88.0,42,0.12043881880237475,0.1111111111111111,0.11469873564969299
232.0,16,0.12027234139269743,0.08187134502923976,0.12936716288046568
35.0,66,0.12024509431630175,0.1111111111111111,0.11097030076242134
177.0,16,0.12014103887168903,0.1437908496732026,0.10376621535197143
552.0,6,0.11988304093567252,0.1111111111111111,0.11374231422538969
98.0,20,0.11988058381247235,0.1111111111111111,0.10756869448463945
84.0,38,0.11775342639364149,0.1111111111111111,0.09901739771785058
48.0,54,0.1176424210909935,0.05263157894736842,0.13128192867130856
128.0,15,0.11719412911363376,0.1111111111111111,0.08628434181862671
34.0,64,0.11717540634674922,0.1111111111111111,0.09096258784144119
199.0,14,0.11704506363949088,0.1111111111111111,0.08482811016760348
195.0,10,0.11526487788097695,0.08187134502923976,0.11591221420804199
542.0,2,0.11455108359133127,0.11455108359133127,0.0875674032429161
487.0,2,0.11455108359133127,0.11455108359133127,0.0875674032429161
351.0,2,0.11455108359133127,0.11455108359133127,0.0875674032429161
37.0,65,0.11388217905245769,0.1111111111111111,0.12209088610165204
87.0,21,0.11374432814061297,0.1111111111111111,0.10256832061485105
4.0,498,0.11252024507834124,0.1111111111111111,0.1125345807694616
33.0,74,0.11188842535591763,0.08187134502923976,0.10585138340136328
2210.0,1,0.1111111111111111,0.1111111111111111,
624.0,2,0.1111111111111111,0.1111111111111111,0.0
578.0,1,0.1111111111111111,0.1111111111111111,
1156.0,1,0.1111111111111111,0.1111111111111111,
508.0,4,0.1111111111111111,0.05555555555555555,0.15713484026367722
583.0,1,0.1111111111111111,0.1111111111111111,
1640.0,1,0.1111111111111111,0.1111111111111111,
1276.0,1,0.1111111111111111,0.1111111111111111,
793.0,1,0.1111111111111111,0.1111111111111111,
1247.0,1,0.1111111111111111,0.1111111111111111,
1162.0,1,0.1111111111111111,0.1111111111111111,
1418.0,1,0.1111111111111111,0.1111111111111111,
719.0,1,0.1111111111111111,0.1111111111111111,
712.0,1,0.1111111111111111,0.1111111111111111,
1430.0,1,0.1111111111111111,0.1111111111111111,
1835.0,1,0.1111111111111111,0.1111111111111111,
473.0,1,0.1111111111111111,0.1111111111111111,
1630.0,1,0.1111111111111111,0.1111111111111111,
1721.0,1,0.1111111111111111,0.1111111111111111,
490.0,1,0.1111111111111111,0.1111111111111111,
1843.0,1,0.1111111111111111,0.1111111111111111,
513.0,1,0.1111111111111111,0.1111111111111111,
1124.0,1,0.1111111111111111,0.1111111111111111,
911.0,1,0.1111111111111111,0.1111111111111111,
1011.0,1,0.1111111111111111,0.1111111111111111,
1103.0,1,0.1111111111111111,0.1111111111111111,
231.0,21,0.11063197208708044,0.05263157894736842,0.11839514561654699
163.0,21,0.10996445361770439,0.05263157894736842,0.11490714757423615
141.0,23,0.10987507130998851,0.05263157894736842,0.11117309372283181
212.0,13,0.10950358550977746,0.1111111111111111,0.09785670201478437
236.0,9,0.10922868172610174,0.1111111111111111,0.07937820871608416
86.0,39,0.1091221013821633,0.1111111111111111,0.0828126963189175
25.0,103,0.10889421345100807,0.1111111111111111,0.09716522383622442
16.0,147,0.10838863532046068,0.05263157894736842,0.10344858420461821
