topic,community_a,community_b,n_a_in_topic,n_b_in_topic,size_a,size_b,connectedness,method
0,37,43,26,18,77,48,0.008224676,combined
0,18,43,11,18,148,48,0.009762067,combined
0,23,37,13,26,121,77,0.011496526,combined
0,18,33,11,73,148,84,0.014562895,combined
0,18,23,11,13,148,121,0.017766574,combined
0,10,37,22,26,332,77,0.018790126,combined
0,23,33,13,73,121,84,0.021314826,combined
0,23,41,13,15,121,52,0.023851348,combined
0,10,23,22,13,332,121,0.025491055,combined
0,10,33,22,73,332,84,0.025794555,combined
1,9,55,11,21,344,31,0.017185401,combined
1,1,9,44,11,1772,344,0.02091029,combined
1,1,55,44,21,1772,31,0.026533986,combined
1,5,9,25,11,654,344,0.027551021,combined
1,5,55,25,21,654,31,0.030435272,combined
1,0,9,233,11,2001,344,0.039381653,combined
1,1,5,44,25,1772,654,0.08536833,combined
1,0,55,233,21,2001,31,0.099009484,combined
1,0,5,233,25,2001,654,0.1668048,combined
1,0,1,233,44,2001,1772,0.18540272,combined
2,1,73,19,12,1772,13,0.021417677,combined
2,0,73,334,12,2001,13,0.14547977,combined
2,0,1,334,19,2001,1772,0.18540272,combined
3,1,65,20,14,1772,21,0.018803786,combined
3,1,27,20,14,1772,99,0.03078391,combined
3,1,17,20,15,1772,165,0.047432788,combined
3,17,65,15,14,165,21,0.056031097,combined
3,27,65,14,14,99,21,0.087074086,combined
3,17,27,15,14,165,99,0.09220622,combined
3,0,65,231,14,2001,21,0.10758819,combined
3,0,27,231,14,2001,99,0.16286445,combined
3,0,17,231,15,2001,165,0.17487198,combined
3,0,1,231,20,2001,1772,0.18540272,combined
5,0,6,243,10,2001,608,0.22905257,combined
6,5,49,11,23,654,38,0.015714325,combined
6,5,12,11,168,654,314,0.018750962,combined
6,12,49,168,23,314,38,0.1279276,combined
7,1,11,20,120,1772,321,0.09224813,combined
7,0,1,33,20,2001,1772,0.18540272,combined
7,0,11,33,120,2001,321,0.19197312,combined
12,3,21,14,15,790,127,0.017654262,combined
12,1,21,26,15,1772,127,0.049754642,combined
12,1,3,26,14,1772,790,0.06774377,combined
12,0,3,51,14,2001,790,0.10190011,combined
12,0,21,51,15,2001,127,0.12423241,combined
12,0,1,51,26,2001,1772,0.18540272,combined
13,1,4,43,17,1772,783,0.033451673,combined
13,4,11,17,19,783,321,0.04474074,combined
13,0,4,40,17,2001,783,0.046069298,combined
13,1,3,43,13,1772,790,0.06774377,combined
13,3,11,13,19,790,321,0.08512669,combined
13,1,11,43,19,1772,321,0.09224813,combined
13,0,3,40,13,2001,790,0.10190011,combined
13,0,1,40,43,2001,1772,0.18540272,combined
13,0,11,40,19,2001,321,0.19197312,combined
13,3,4,13,17,790,783,0.23036203,combined
14,3,18,13,65,790,148,0.09760569,combined
14,0,3,47,13,2001,790,0.10190011,combined
14,0,18,47,65,2001,148,0.20823233,combined
15,1,2,20,32,1772,925,0.07652049,combined
15,2,20,32,101,925,132,0.10211328,combined
15,1,20,20,101,1772,132,0.13211328,combined
17,6,11,76,13,608,321,0.06297087,combined
17,11,19,13,67,321,141,0.066209376,combined
17,6,19,76,67,608,141,0.11845095,combined
18,3,4,12,139,790,783,0.23036203,combined
22,1,2,43,34,1772,925,0.07652049,combined
24,1,16,21,58,1772,169,0.057513103,combined
25,6,23,11,61,608,121,0.052327257,combined
25,1,23,10,61,1772,121,0.057641957,combined
25,1,6,10,11,1772,608,0.070525125,combined
26,0,27,68,13,2001,99,0.16286445,combined
27,1,3,23,29,1772,790,0.06774377,combined
27,1,10,23,12,1772,332,0.07647146,combined
27,3,10,29,12,790,332,0.18971422,combined
28,5,21,17,56,654,127,0.062264085,combined
29,1,22,20,78,1772,123,0.13712628,combined
31,1,27,15,22,1772,99,0.03078391,combined
31,1,25,15,23,1772,114,0.042717025,combined
31,7,27,25,22,601,99,0.090242565,combined
31,0,7,10,25,2001,601,0.09295578,combined
31,0,25,10,23,2001,114,0.09479883,combined
31,25,27,23,22,114,99,0.106319524,combined
31,0,27,10,22,2001,99,0.16286445,combined
31,1,7,15,25,1772,601,0.17505273,combined
31,7,25,25,23,601,114,0.185268,combined
31,0,1,10,15,2001,1772,0.18540272,combined
32,5,11,16,76,654,321,0.049475454,combined
33,6,37,11,19,608,77,0.029796261,combined
33,0,37,12,19,2001,77,0.06705644,combined
33,1,6,40,11,1772,608,0.070525125,combined
33,1,37,40,19,1772,77,0.07216908,combined
33,0,1,12,40,2001,1772,0.18540272,combined
33,0,6,12,11,2001,608,0.22905257,combined
35,26,30,12,70,100,88,0.040711172,combined
39,26,44,27,19,100,46,0.04372196,combined
39,0,26,23,27,2001,100,0.061090715,combined
39,0,44,23,19,2001,46,0.08211586,combined
40,29,38,28,30,98,75,0.018193077,combined
42,7,64,21,17,601,23,0.13452113,combined
46,4,25,22,10,783,114,0.075766936,combined
46,3,25,16,10,790,114,0.07640735,combined
46,3,4,16,22,790,783,0.23036203,combined
49,3,54,20,11,790,31,0.030041596,combined
49,4,54,20,11,783,31,0.0355059,combined
49,3,4,20,20,790,783,0.23036203,combined
54,12,32,11,22,314,86,0.13135678,combined
55,1,10,13,28,1772,332,0.07647146,combined
58,0,19,10,21,2001,141,0.06282611,combined
59,3,45,20,22,790,45,0.15493709,combined
60,13,51,26,16,225,33,0.05800262,combined
65,3,4,20,11,790,783,0.23036203,combined
67,0,29,16,21,2001,98,0.07609807,combined
68,0,15,12,25,2001,189,0.061017483,combined
70,0,18,16,12,2001,148,0.20823233,combined
71,3,22,23,10,790,123,0.05128382,combined
