topic,community_a,community_b,n_a_in_topic,n_b_in_topic,size_a,size_b,connectedness,method
0,49,52,37,29,38,33,0.006468763,bibliographic_coupling
0,0,39,25,15,2001,61,0.011920313,bibliographic_coupling
0,0,32,25,74,2001,86,0.014440012,bibliographic_coupling
0,0,52,25,29,2001,33,0.01548147,bibliographic_coupling
0,39,52,15,29,61,33,0.017076708,bibliographic_coupling
1,1,37,483,18,1772,77,0.06986975,bibliographic_coupling
2,0,5,275,10,2001,654,0.22506613,bibliographic_coupling
4,1,29,176,35,1772,98,0.19272567,bibliographic_coupling
7,1,3,18,12,1772,790,0.073482335,bibliographic_coupling
7,1,18,18,53,1772,148,0.082675084,bibliographic_coupling
7,0,3,57,12,2001,790,0.106707305,bibliographic_coupling
7,3,18,12,53,790,148,0.12581666,bibliographic_coupling
7,0,1,57,18,2001,1772,0.19821262,bibliographic_coupling
9,7,27,28,34,601,99,0.1274957,bibliographic_coupling
9,21,27,13,34,127,99,0.14381808,bibliographic_coupling
9,25,27,57,34,114,99,0.14959805,bibliographic_coupling
9,7,21,28,13,601,127,0.14967187,bibliographic_coupling
9,21,25,13,57,127,114,0.16605395,bibliographic_coupling
11,1,7,13,119,1772,601,0.23790325,bibliographic_coupling
14,0,11,16,104,2001,321,0.24723387,bibliographic_coupling
17,0,24,19,56,2001,121,0.17592283,bibliographic_coupling
21,26,30,10,65,100,88,0.0595783,bibliographic_coupling
22,5,21,15,51,654,127,0.09835467,bibliographic_coupling
24,5,11,17,59,654,321,0.080818765,bibliographic_coupling
26,1,22,20,60,1772,123,0.20355207,bibliographic_coupling
27,26,58,18,10,100,29,0.034021873,bibliographic_coupling
27,38,58,34,10,75,29,0.048387025,bibliographic_coupling
27,26,38,18,34,100,75,0.06669922,bibliographic_coupling
30,33,40,11,39,84,57,0.022971828,bibliographic_coupling
30,10,33,14,11,332,84,0.032931156,bibliographic_coupling
30,10,40,14,39,332,57,0.043716103,bibliographic_coupling
33,1,20,11,64,1772,132,0.1634092,bibliographic_coupling
34,3,4,31,24,790,783,0.2776324,bibliographic_coupling
37,2,19,45,12,925,141,0.033879958,bibliographic_coupling
39,2,20,39,20,925,132,0.11218646,bibliographic_coupling
52,13,51,28,14,225,33,0.07238224,bibliographic_coupling
59,1,33,17,10,1772,84,0.15635483,bibliographic_coupling
76,3,57,11,20,790,30,0.007684901,bibliographic_coupling
79,0,5,11,17,2001,654,0.22506613,bibliographic_coupling
