Topic,Count,Name,Representation,Representative_Docs
-1,3816,-1_motor_learning_training_motor learning,"['motor', 'learning', 'training', 'motor learning', 'sep', 'performance', 'stroke', 'practice', 'task', 'group']",
0,1437,0_adaptation_movements_force_visuomotor,"['adaptation', 'movements', 'force', 'visuomotor', 'arm', 'movement', 'visual', 'reaching', 'control', 'model']",
1,366,1_excitability_m1_tms_stimulation,"['excitability', 'm1', 'tms', 'stimulation', 'transcranial magnetic', 'magnetic stimulation', 'motor cortex', 'cortex', 'magnetic', 'plasticity']",
2,306,2_sleep_consolidation_memory_memory consolidation,"['sleep', 'consolidation', 'memory', 'memory consolidation', 'spindles', 'sleepdependent', 'nap', 'night', 'offline', 'spindle']",
3,252,3_tdcs_stimulation_current stimulation_anodal,"['tdcs', 'stimulation', 'current stimulation', 'anodal', 'transcranial', 'direct current', 'tacs', 'transcranial direct', 'sham', 'current']",
4,196,4_laparoscopic_surgical_surgery_skills,"['laparoscopic', 'surgical', 'surgery', 'skills', 'residents', 'surgeons', 'suturing', 'trainees', 'training', 'laparoscopic skills']",
5,194,5_coordination_relative phase_pattern_dynamics,"['coordination', 'relative phase', 'pattern', 'dynamics', 'dynamical', 'phase', 'bimanual', 'patterns', 'relative', 'variability']",
6,169,6_older_older adults_adults_aging,"['older', 'older adults', 'adults', 'aging', 'agerelated', 'age', 'young', 'younger', 'cognitive', 'learning older']",
7,167,7_eeg_beta_power_alpha,"['eeg', 'beta', 'power', 'alpha', 'theta', 'activity', 'eventrelated', 'frontal', 'beta power', 'oscillations']",
8,155,8_song_vocal_songbirds_birds,"['song', 'vocal', 'songbirds', 'birds', 'song learning', 'zebra', 'vocal learning', 'neurons', 'hvc', 'finches']",
9,153,9_selfcontrolled_yoked_feedback_kr,"['selfcontrolled', 'yoked', 'feedback', 'kr', 'selfcontrol', 'autonomy', 'choice', 'motivation', 'expectancies', 'group']",
