topic_id,words,scores
0,adaptation | movements | visuomotor | force | movement | visual | learning | arm | control | reaching,0.0208 | 0.0123 | 0.0113 | 0.0112 | 0.0108 | 0.0104 | 0.0103 | 0.0098 | 0.0098 | 0.0096
1,brain | functional | activation | regions | changes | fmri | imaging | connectivity | matter | cortex,0.0185 | 0.0172 | 0.0147 | 0.0144 | 0.0132 | 0.0126 | 0.0125 | 0.0125 | 0.0122 | 0.0120
2,tdcs | stimulation | anodal | current stimulation | transcranial | direct current | transcranial direct | sham | current | direct,0.0499 | 0.0375 | 0.0256 | 0.0239 | 0.0238 | 0.0218 | 0.0210 | 0.0203 | 0.0200 | 0.0190
3,excitability | m1 | stimulation | cortex | motor | motor cortex | tms | transcranial magnetic | magnetic stimulation | magnetic,0.0213 | 0.0184 | 0.0177 | 0.0164 | 0.0161 | 0.0160 | 0.0156 | 0.0150 | 0.0149 | 0.0140
4,cerebellar | purkinje | cells | synaptic | purkinje cells | cell | synapses | depression | longterm | parallel,0.0421 | 0.0385 | 0.0355 | 0.0302 | 0.0274 | 0.0267 | 0.0253 | 0.0231 | 0.0227 | 0.0219
5,sleep | consolidation | memory | memory consolidation | spindles | sleepdependent | nap | night | offline | spindle,0.1003 | 0.0412 | 0.0313 | 0.0247 | 0.0216 | 0.0183 | 0.0172 | 0.0166 | 0.0154 | 0.0149
6,laparoscopic | surgical | surgery | skills | training | residents | surgeons | simulation | medical | trainees,0.0511 | 0.0464 | 0.0304 | 0.0284 | 0.0233 | 0.0218 | 0.0187 | 0.0167 | 0.0155 | 0.0152
7,patients | pd | disease | parkinsons | parkinsons disease | pd patients | learning | controls | sequence | sequence learning,0.0350 | 0.0348 | 0.0302 | 0.0258 | 0.0248 | 0.0163 | 0.0157 | 0.0152 | 0.0147 | 0.0144
8,coaches | players | sport | constraints | coaching | ecological | games | approach | pedagogy | football,0.0350 | 0.0284 | 0.0239 | 0.0198 | 0.0196 | 0.0183 | 0.0173 | 0.0169 | 0.0162 | 0.0154
9,song | vocal | songbirds | birds | song learning | vocal learning | neurons | zebra | hvc | foxp2,0.1079 | 0.0601 | 0.0318 | 0.0310 | 0.0291 | 0.0277 | 0.0276 | 0.0268 | 0.0228 | 0.0225
10,multisensory | auditory | audiovisual | stimuli | integration | multisensory integration | visual | temporal | crossmodal | unisensory,0.0980 | 0.0398 | 0.0360 | 0.0359 | 0.0341 | 0.0313 | 0.0274 | 0.0271 | 0.0242 | 0.0212
11,coordination | pattern | relative phase | dynamics | patterns | phase | bimanual | practice | dynamical | movement,0.0378 | 0.0173 | 0.0164 | 0.0163 | 0.0151 | 0.0149 | 0.0143 | 0.0139 | 0.0138 | 0.0133
12,eeg | beta | power | activity | alpha | theta | motor | task | learning | eventrelated,0.0262 | 0.0247 | 0.0202 | 0.0152 | 0.0135 | 0.0123 | 0.0120 | 0.0117 | 0.0111 | 0.0111
13,older | adults | older adults | aging | agerelated | age | young | younger | cognitive | young adults,0.0507 | 0.0469 | 0.0444 | 0.0277 | 0.0233 | 0.0215 | 0.0183 | 0.0154 | 0.0151 | 0.0127
14,sequence | sequence learning | sequences | implicit | serial | learning | task | reaction | explicit | reaction time,0.0577 | 0.0293 | 0.0266 | 0.0202 | 0.0188 | 0.0182 | 0.0148 | 0.0145 | 0.0144 | 0.0139
15,saccade | saccades | saccadic | adaptation | eye | target | eye movements | saccade adaptation | saccadic adaptation | error,0.0709 | 0.0498 | 0.0452 | 0.0414 | 0.0407 | 0.0276 | 0.0242 | 0.0231 | 0.0229 | 0.0213
16,neurons | cortex | motor cortex | spines | synaptic | spine | dendritic | layer | mice | plasticity,0.0309 | 0.0297 | 0.0284 | 0.0273 | 0.0266 | 0.0260 | 0.0226 | 0.0222 | 0.0202 | 0.0186
17,striatal | striatum | dopamine | neurons | corticostriatal | mice | synaptic | receptors | dopaminergic | ganglia,0.0508 | 0.0497 | 0.0314 | 0.0262 | 0.0223 | 0.0216 | 0.0181 | 0.0170 | 0.0167 | 0.0161
18,selfcontrolled | feedback | kr | yoked | group | autonomy | selfcontrol | choice | motivation | participants,0.0371 | 0.0282 | 0.0251 | 0.0239 | 0.0238 | 0.0212 | 0.0211 | 0.0210 | 0.0210 | 0.0195
19,focus | external | external focus | focus attention | attention | internal | internal focus | instructions | attentional focus | attentional,0.0927 | 0.0507 | 0.0456 | 0.0418 | 0.0405 | 0.0330 | 0.0328 | 0.0315 | 0.0282 | 0.0282
20,walking | splitbelt | locomotor | adaptation | treadmill | gait | step | splitbelt treadmill | locomotor adaptation | asymmetry,0.0550 | 0.0481 | 0.0320 | 0.0315 | 0.0294 | 0.0272 | 0.0252 | 0.0235 | 0.0197 | 0.0192
21,cerebral palsy | palsy | cerebral | children | cp | therapy | intervention | children cerebral | interventions | intensive,0.0437 | 0.0436 | 0.0384 | 0.0379 | 0.0352 | 0.0236 | 0.0204 | 0.0203 | 0.0186 | 0.0174
